Natural_Order,soundA,soundB,Details,Contour,Notes_Different,root,Answer,Random_Order
598,"[3, 6, -1.0, 5, 2]","[3, 6, -1.0, 5, 2]","No Scale, 1",UUUU,0,"['G',3]",same,0.399344167
505,"[2, 6.0, 8.0, 3, 1]","[2, 6.0, 8.0, 3, 1]","No Scale, 1",UUUU,0,"['G',3]",same,0.674093383
10,"[1, 2, 5, 8, 9]","[1, 2, 5, 8, 8.0]","No Scale, 1",UUUU,1,"['G',3]",different,0.822132946
388,"[11, 8, 7.0, 4, 1]","[11, 8, 7.0, 4, 1]","No Scale, 1",UUUU,0,"['G',3]",same,0.683025656
431,"[2.0, 3.0, 5, 8, 9]","[2.0, 3.0, 5, 8, 9]","No Scale, 1",UUUU,0,"['B',4]",same,0.165524485
130,"[2, 4, 6, 3, 1]","[2, 4, 6, 3.5, 0.5]","No Scale, 0.5",UUDD,2,"['G',3]",different,0.446231342
392,"[2, 4.5, 6, 3, 1]","[2, 4.5, 6, 3, 1]","No Scale, 1",UUUU,0,"['B',4]",same,0.824623878
393,"[2, 4, 5.5, 3, 1]","[2, 4, 5.5, 3, 1]","No Scale, 1",DUDU,0,"['B',4]",same,0.286824409
285,"[11, 8, 5, 4, 1]","[11, 7.0, 6.0, 4, 1]","No Scale, 1",DDDD,2,"['B',4]",different,0.731940753
306,"[2, 4, 6, 3, 1]","[2, 4.5, 6, 3.5, 1]","No Scale, 0.5",UUDD,2,"['B',4]",different,0.726966881
322,"[2, 4, 6, 3, 1]","[4.0, 4, 4.0, 3, 1]","No Scale, 2",UUDD,2,"['B',4]",different,0.235859754
368,"[1, 2, 6.0, 8, 9]","[1, 2, 6.0, 8, 9]","No Scale, 1",UUDD,0,"['G',3]",same,0.647419093
336,"[3, 6, 1, 5, 2]","[3, 5.5, 1, 4.5, 2]","No Scale, 0.5",DUDU,2,"['B',4]",different,0.135431067
65,"[1, 2, 5, 8, 9]","[1, 1.5, 4.5, 8, 9]","No Scale, 0.5",UUUU,2,"['G',3]",different,0.778568084
440,"[1, 2, 5, 7.0, 10.0]","[1, 2, 5, 7.0, 10.0]","No Scale, 1",DDDD,0,"['B',4]",same,0.016931236
188,"[1, 2, 5, 8, 9]","[1, 2, 6.0, 8, 9]","No Scale, 1",UUUU,1,"['B',4]",different,0.573490997
387,"[11, 10.0, 5, 4, 1]","[11, 10.0, 5, 4, 1]","No Scale, 2",UUUU,0,"['G',3]",same,0.341038633
