Item_Number,Natural_Order,soundA,soundB,Details,Contour,Notes_Different,diff1,diff2,root,Answer,Random_Order
1,598,"[3, 6, -1.0, 5, 2]","[3, 6, -1.0, 5, 2]","No Scale, 1",UDUD,0,none,none,"['G', 3]",same,0.399344167
2,505,"[2, 6.0, 8.0, 3, 1]","[2, 6.0, 8.0, 3, 1]","No Scale, 1",UUDD,0,none,none,"['G', 3]",same,0.674093383
3,10,"[1, 2, 5, 8, 9]","[1, 2, 5, 8, 8.0]","No Scale, 1",UUUU,1,five,none,"['G', 3]",different,0.822132946
4,388,"[11, 8, 7.0, 4, 1]","[11, 8, 7.0, 4, 1]","No Scale, 1",DDDD,0,none,none,"['G', 3]",same,0.683025656
5,431,"[2.0, 3.0, 5, 8, 9]","[2.0, 3.0, 5, 8, 9]","No Scale, 1",UUUU,0,none,none,"['B', 4]",same,0.165524485
6,130,"[2, 4, 6, 3, 1]","[2, 4, 6, 3.5, 0.5]","No Scale, 0.5",UUDD,2,four,five,"['G', 3]",different,0.446231342
7,392,"[2, 4.5, 6, 3, 1]","[2, 4.5, 6, 3, 1]","No Scale, 1",UUDD,0,none,none,"['B', 4]",same,0.824623878
8,393,"[2, 4, 5.5, 3, 1]","[2, 4, 5.5, 3, 1]","No Scale, 1",UUDD,0,none,none,"['B', 4]",same,0.286824409
9,285,"[11, 8, 5, 4, 1]","[11, 7.0, 6.0, 4, 1]","No Scale, 1",DDDD,2,two,three,"['B', 4]",different,0.731940753
10,306,"[2, 4, 6, 3, 1]","[2, 4.5, 6, 3.5, 1]","No Scale, 0.5",UUDD,2,two,four,"['B', 4]",different,0.726966881
11,322,"[2, 4, 6, 3, 1]","[4.0, 4, 4.0, 3, 1]","No Scale, 2",UUDD,2,one,three,"['B', 4]",different,0.235859754
12,368,"[1, 2, 6.0, 8, 9]","[1, 2, 6.0, 8, 9]","No Scale, 1",UUUU,0,none,none,"['G', 3]",same,0.647419093
13,336,"[3, 6, 1, 5, 2]","[3, 5.5, 1, 4.5, 2]","No Scale, 0.5",UDUD,2,two,four,"['B', 4]",different,0.135431067
14,65,"[1, 2, 5, 8, 9]","[1, 1.5, 4.5, 8, 9]","No Scale, 0.5",UUUU,2,two,three,"['G', 3]",different,0.778568084
15,440,"[1, 2, 5, 7.0, 10.0]","[1, 2, 5, 7.0, 10.0]","No Scale, 1",UUUU,0,none,none,"['B', 4]",same,0.016931236
16,188,"[1, 2, 5, 8, 9]","[1, 2, 6.0, 8, 9]","No Scale, 1",UUUU,1,three,none,"['B', 4]",different,0.573490997
17,387,"[11, 10.0, 5, 4, 1]","[11, 10.0, 5, 4, 1]","No Scale, 2",DDDD,0,none,none,"['G', 3]",same,0.341038633
18,202,"[11, 8, 5, 4, 1]","[11, 7.0, 5, 4, 1]","No Scale, 1",DDDD,1,two,none,"['B', 4]",different,0.821624312
19,346,"[3, 6, 1, 5, 2]","[3, 7.0, 1, 6.0, 2]","No Scale, 1",UDUD,2,two,four,"['B', 4]",different,0.833864453
20,13,"[1, 2, 5, 8, 9]","[1, 2, 7.0, 8, 9]","No Scale, 2",UUUU,1,three,none,"['G', 3]",different,0.734413831
21,375,"[1, 2, 5, 8, 11.0]","[1, 2, 5, 8, 11.0]","No Scale, 2",UUUU,0,none,none,"['G', 3]",same,0.896638142
22,342,"[3, 6, 1, 5, 2]","[2.0, 6, 2.0, 5, 2]","No Scale, 1",UDUD,2,one,three,"['B', 4]",different,0.097174632
23,149,"[2, 4, 6, 3, 1]","[2, 4, 8.0, 3, 3.0]","No Scale, 2",UUDD,2,three,five,"['G', 3]",different,0.434058084
24,418,"[3, 6, -1.0, 5, 2]","[3, 6, -1.0, 5, 2]","No Scale, 0.5",UDUD,0,none,none,"['B', 4]",same,0.12446624
25,212,"[2, 4, 6, 3, 1]","[2, 4.5, 6, 3, 1]","No Scale, 0.5",UUDD,1,two,none,"['B', 4]",different,0.408608646
26,576,"[3.0, 4, 6, 3, 1]","[3.0, 4, 6, 3, 1]","No Scale, 1",UUDD,0,none,none,"['G', 3]",same,0.500214517
27,677,"[2, 3.0, 6, 3, 0.0]","[2, 3.0, 6, 3, 0.0]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.64990976
28,36,"[2, 4, 6, 3, 1]","[3.0, 4, 6, 3, 1]","No Scale, 1",UUDD,1,one,none,"['G', 3]",different,0.62341326
29,361,"[1.5, 2, 5, 8, 9]","[1.5, 2, 5, 8, 9]","No Scale, 2",UUUU,0,none,none,"['G', 3]",same,0.813034172
30,443,"[3.0, 2, 5, 10.0, 9]","[3.0, 2, 5, 10.0, 9]","No Scale, 2",DUUD,0,none,none,"['G', 3]",same,0.749168426
31,22,"[11, 8, 5, 4, 1]","[11, 7.0, 5, 4, 1]","No Scale, 1",DDDD,1,two,none,"['G', 3]",different,0.564387576
32,111,"[11, 8, 5, 4, 1]","[9.0, 6.0, 5, 4, 1]","No Scale, 2",DDDD,2,one,two,"['G', 3]",different,0.101522907
33,494,"[3.0, 4, 6, 3, 0.0]","[3.0, 4, 6, 3, 0.0]","No Scale, 0.5",UUDD,0,none,none,"['B', 4]",same,0.509135991
34,335,"[3, 6, 1, 5, 2]","[3, 5.5, 1.5, 5, 2]","No Scale, 0.5",UDUD,2,two,three,"['B', 4]",different,0.845408114
35,589,"[3, 6, 1, 4.5, 2]","[3, 6, 1, 4.5, 2]","No Scale, 2",UDUD,0,none,none,"['G', 3]",same,0.97453076
36,672,"[1.0, 4, 7.0, 3, 1]","[1.0, 4, 7.0, 3, 1]","No Scale, 2",UUDD,0,none,none,"['G', 3]",same,0.916212822
37,304,"[2, 4, 6, 3, 1]","[2.5, 4, 6, 3, 1.5]","No Scale, 0.5",UUDD,2,one,five,"['B', 4]",different,0.134601691
38,513,"[3.5, 6, 1, 4.5, 2]","[3.5, 6, 1, 4.5, 2]","No Scale, 0.5",UDUD,0,none,none,"['G', 3]",same,0.270414949
39,419,"[3, 6, 1, 3.0, 2]","[3, 6, 1, 3.0, 2]","No Scale, 0.5",UDUD,0,none,none,"['B', 4]",same,0.156687066
40,453,"[10.5, 8, 5, 4.5, 1]","[10.5, 8, 5, 4.5, 1]","No Scale, 1",DDDD,0,none,none,"['B', 4]",same,0.803538687
41,19,"[11, 8, 5, 4, 1]","[11, 8, 5, 4.5, 1]","No Scale, 0.5",DDDD,1,four,none,"['G', 3]",different,0.850857647
42,531,"[5.0, 4.0, 1, 5, 2]","[5.0, 4.0, 1, 5, 2]","No Scale, 2",DDUD,0,none,none,"['B', 4]",same,0.551204272
43,436,"[1, 3.0, 5, 7.0, 9]","[1, 3.0, 5, 7.0, 9]","No Scale, 0.5",UUUU,0,none,none,"['B', 4]",same,0.428616885
44,338,"[3, 6, 1, 5, 2]","[3, 6, 1.5, 5.5, 2]","No Scale, 0.5",UDUD,2,three,four,"['B', 4]",different,0.530000525
45,679,"[2, 4, 5.0, 3, 2.0]","[2, 4, 5.0, 3, 2.0]","No Scale, 2",UUDD,0,none,none,"['B', 4]",same,0.62517972
46,257,"[1, 2, 5, 8, 9]","[1, 1.0, 5, 8, 8.0]","No Scale, 1",UUUU,2,two,five,"['B', 4]",different,0.914546394
47,198,"[11, 8, 5, 4, 1]","[11, 8, 5.5, 4, 1]","No Scale, 0.5",DDDD,1,three,none,"['B', 4]",different,0.498275371
48,486,"[2, 4.5, 6, 3.5, 1]","[2, 4.5, 6, 3.5, 1]","No Scale, 0.5",UUDD,0,none,none,"['B', 4]",same,0.056268369
49,300,"[11, 8, 5, 4, 1]","[11, 8, 5, 2.0, 3.0]","No Scale, 2",DDDD,2,four,five,"['B', 4]",different,0.035770237
50,567,"[11, 10.0, 5, 4, 1]","[11, 10.0, 5, 4, 1]","No Scale, 1",DDDD,0,none,none,"['G', 3]",same,0.427397583
51,5,"[1, 2, 5, 8, 9]","[1, 2, 5, 8, 8.5]","No Scale, 0.5",UUUU,1,five,none,"['G', 3]",different,0.221498757
52,495,"[2, 5.0, 7.0, 3, 1]","[2, 5.0, 7.0, 3, 1]","No Scale, 1",UUDD,0,none,none,"['G', 3]",same,0.074435266
53,301,"[2, 4, 6, 3, 1]","[2.5, 4.5, 6, 3, 1]","No Scale, 0.5",UUDD,2,one,two,"['B', 4]",different,0.70688617
